kq,kQ,kZ,kY,coverage,time,time_connected,average_fiedler,time_localized,average_CRB,max_queue,runtime,seed,coverage_array
0.5,0,0,0,496,127,4,0.06201550387596899,2.5,714.2369639108342,224,6.789361953735352,1,"[1, 25, 36, 39, 51, 54, 57, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 147, 147, 149, 149, 152, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 493, 496, 496, 496, 496, 496, 496, 496]"
0.5,0,0,0,340,79,4,0.10599736342749265,3.5,714.0180821158858,168,7.876531362533569,2,"[1, 25, 36, 47, 58, 61, 64, 64, 64, 64, 64, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 155, 156, 156, 156, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 264, 264, 264, 264, 264, 334, 334, 335, 336, 338, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340]"
0.25,0,0,0,325,79,4,0.10599736342749265,3.5,714.0180821158858,125,8.15309190750122,2,"[1, 25, 36, 47, 58, 61, 64, 64, 64, 64, 64, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 321, 322, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325, 325]"
0.25,0,0,0,533,127,4,0.06201550387596899,2.5,714.2369639108342,237,9.106111526489258,1,"[1, 25, 36, 39, 51, 54, 57, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 263, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 264, 529, 533, 533, 533, 533, 533, 533, 533, 533, 533, 533, 533, 533, 533, 533]"
0.75,0,0,0,344,127,4,0.06201550387596899,2.5,714.2369639108342,113,11.01957106590271,1,"[1, 25, 36, 39, 51, 54, 57, 66, 66, 66, 66, 66, 100, 100, 100, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 104, 150, 150, 150, 150, 150, 191, 191, 191, 191, 191, 246, 247, 248, 248, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344]"
0.5,0,0,0,297,123,4,0.06868629150101524,3.75,942.587130475419,196,12.219240188598633,3,"[1, 25, 36, 47, 55, 58, 70, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 157, 157, 187, 191, 191, 191, 198, 209, 213, 217, 217, 217, 217, 217, 217, 217, 217, 217, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297]"
0.75,0,0,0,361,79,7,0.1800714375015667,3.5,714.0180821158858,73,12.386508464813232,2,"[1, 25, 36, 47, 58, 61, 64, 64, 64, 64, 64, 85, 85, 85, 85, 85, 85, 85, 85, 129, 130, 133, 136, 138, 138, 170, 170, 170, 170, 170, 170, 170, 170, 170, 170, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 316, 317, 318, 319, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361]"
0.25,0,0,0,375,123,4,0.06868629150101524,6.0,917.9621056043054,366,12.88230013847351,3,"[1, 25, 36, 47, 55, 58, 70, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 299, 299, 299, 299, 299, 299, 299, 299, 299, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375]"
-1,-1,-1,-1,60,53,48,2.1818181818181817,19.5,288.279832004253,4,14.344576120376587,1,"[1, 25, 36, 39, 47, 47, 47, 47, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 50, 50, 50, 50, 55, 55, 59, 59, 60, 60, 60]"
0.75,0,0,0,529,123,5,0.08468629150101524,4.25,934.9404003718441,108,21.39842462539673,3,"[1, 25, 36, 47, 55, 58, 70, 73, 73, 73, 73, 73, 73, 73, 73, 73, 124, 124, 127, 157, 157, 157, 157, 157, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 243, 243, 244, 245, 306, 308, 311, 314, 317, 320, 323, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 326, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529, 529]"
