"kq","kQ","kZ","kY","coverage","time","time_connected","average_fiedler","time_localized","average_CRB","max_queue","runtime","seed","coverage_array"
0.9,0,0,0,338,79,7,0.18007143750156673,4.0,764.4039834550781,37,37.519001722335815,2,"[1, 25, 36, 47, 58, 61, 67, 67, 73, 73, 91, 91, 91, 91, 100, 103, 117, 118, 118, 118, 146, 146, 146, 146, 146, 146, 146, 146, 146, 146, 184, 184, 187, 187, 191, 191, 209, 219, 222, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 249, 280, 280, 280, 280, 280, 280, 280, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 337, 338, 338, 338, 338, 338, 338, 338, 338, 338]"
0.9,0,0,0,366,127,8,0.13178294573643412,2.75,712.3083980193612,50,52.92777967453003,1,"[1, 25, 36, 42, 48, 59, 59, 63, 72, 84, 84, 84, 84, 84, 84, 84, 95, 121, 121, 121, 130, 142, 146, 149, 149, 149, 149, 162, 162, 176, 176, 176, 176, 176, 176, 176, 176, 176, 176, 198, 198, 198, 198, 198, 198, 220, 220, 220, 220, 220, 220, 220, 220, 245, 245, 245, 245, 245, 245, 245, 245, 245, 245, 245, 245, 245, 245, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 278, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 366, 366, 366, 366, 366, 366, 366]"
0.9,0,0,0,476,123,5,0.08468629150101525,3.5,943.7223829284154,82,65.34821271896362,3,"[1, 25, 36, 47, 58, 64, 70, 70, 70, 94, 103, 103, 106, 106, 106, 106, 122, 122, 139, 141, 141, 177, 177, 178, 178, 178, 178, 178, 178, 178, 178, 178, 229, 229, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 313, 313, 313, 313, 313, 313, 313, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476, 476]"
0.9,0,0,0,762,250,10,0.0816896287207417,4.0,923.1593378941986,106,135.4451768398285,5,"[1, 25, 36, 47, 55, 55, 64, 78, 78, 78, 85, 100, 100, 100, 100, 110, 131, 131, 131, 131, 131, 131, 165, 168, 183, 186, 189, 189, 189, 189, 201, 204, 204, 204, 204, 204, 224, 224, 224, 224, 224, 224, 224, 224, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 278, 278, 278, 278, 278, 278, 278, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 381, 381, 381, 381, 381, 381, 381, 381, 381, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 427, 483, 483, 483, 483, 483, 483, 483, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 545, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 762, 762, 762, 762, 762, 762]"
0.9,0,0,0,1422,360,5,0.029242503971345046,3.75,976.1562450291394,157,331.60806131362915,4,"[1, 25, 36, 47, 50, 56, 75, 80, 88, 88, 88, 88, 88, 103, 131, 134, 137, 137, 137, 137, 137, 174, 174, 174, 174, 191, 191, 191, 191, 191, 191, 191, 215, 247, 249, 251, 251, 257, 257, 257, 257, 257, 280, 280, 280, 314, 314, 314, 314, 314, 314, 314, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 364, 393, 393, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 469, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 569, 569, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1155, 1155, 1155, 1155, 1155, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422]"
0.9,0,0,0,513,125,6,0.09910068061123548,3.5,961.9288562161515,61,396.39247727394104,0,"[1, 25, 36, 47, 58, 64, 73, 73, 100, 100, 100, 103, 103, 124, 124, 129, 129, 135, 135, 135, 158, 158, 158, 158, 158, 158, 158, 199, 199, 220, 220, 220, 240, 240, 240, 240, 240, 240, 240, 240, 240, 240, 278, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 333, 333, 333, 333, 362, 362, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 440, 440, 440, 440, 440, 440, 440, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 513, 513]"
100,1,0,1,241,127,33,0.4677763236473459,8.75,599.9003025652025,25,132.26314735412598,1,"[1, 25, 36, 42, 48, 59, 61, 63, 67, 70, 77, 80, 80, 81, 82, 92, 94, 104, 108, 108, 109, 119, 120, 120, 120, 129, 129, 129, 129, 132, 132, 132, 136, 136, 136, 139, 160, 161, 161, 161, 170, 170, 170, 170, 170, 170, 175, 175, 175, 175, 175, 175, 175, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 202, 203, 203, 203, 203, 203, 203, 203, 205, 205, 205, 205, 205, 205, 205, 205, 205, 205, 214, 214, 214, 215, 215, 215, 215, 218, 218, 218, 218, 219, 219, 219, 219, 224, 224, 225, 226, 226, 226, 230, 230, 230, 230, 230, 230, 230, 235, 235, 235, 235, 235, 235, 235, 235, 241, 241, 241, 241, 241, 241]"
100,1,0,1,230,79,17,0.34480163195227814,9.0,683.7661669688316,7,163.51566219329834,2,"[1, 25, 36, 47, 58, 60, 65, 75, 75, 78, 84, 87, 90, 93, 106, 109, 109, 109, 110, 115, 121, 123, 128, 128, 128, 128, 135, 135, 143, 143, 143, 145, 145, 146, 146, 152, 152, 159, 159, 161, 163, 172, 172, 172, 178, 181, 185, 186, 186, 199, 199, 199, 202, 203, 205, 206, 210, 211, 217, 222, 222, 222, 222, 222, 222, 222, 226, 226, 226, 226, 226, 226, 229, 229, 229, 229, 229, 229, 229, 229, 230]"
100,1,0,1,698,250,15,0.07787062630731298,11.25,783.8311223898764,202,253.9750099182129,5,"[1, 25, 36, 47, 55, 55, 72, 75, 80, 81, 84, 98, 102, 103, 111, 118, 118, 118, 119, 137, 137, 138, 141, 141, 161, 169, 169, 170, 176, 176, 178, 180, 180, 180, 180, 190, 190, 198, 198, 199, 198, 199, 199, 207, 210, 213, 213, 213, 213, 223, 225, 228, 228, 234, 234, 237, 240, 243, 243, 243, 243, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 266, 266, 266, 266, 266, 266, 266, 266, 266, 266, 268, 268, 268, 268, 268, 268, 268, 268, 268, 268, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 281, 281, 281, 281, 281, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 489, 489, 490, 490, 490, 490, 490, 490, 490, 490, 490, 490, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 697, 698]"
100,1,0,1,333,123,23,0.2824871855950771,20.5,761.1424087385252,18,260.98268723487854,3,"[1, 25, 36, 47, 58, 63, 65, 79, 83, 86, 96, 102, 102, 102, 105, 111, 126, 134, 134, 134, 137, 137, 152, 156, 157, 159, 162, 165, 168, 171, 174, 200, 203, 203, 209, 209, 209, 209, 209, 227, 230, 231, 231, 231, 231, 243, 247, 247, 255, 255, 257, 260, 261, 261, 261, 268, 268, 278, 278, 279, 279, 279, 283, 286, 289, 292, 295, 295, 295, 295, 306, 306, 308, 308, 307, 307, 307, 308, 309, 309, 309, 309, 309, 309, 309, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 327, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 328, 333, 333, 333]"
